Date,None,D0,D1,D2,D3,D4
20241203,28.52,71.48,43.64,16.27,4.65,0.6
20241126,26.03,73.97,41.45,16.34,4.91,0.6
20241119,22.27,77.73,45.48,17.44,5.04,0.64
20241112,17.13,82.87,49.84,20.52,4.93,0.68
20241105,12.22,87.78,51.89,21.74,4.74,0.6
20241029,12.84,87.16,54.08,27.58,6.52,0.63
20241022,20.67,79.33,49.97,20.01,5.06,0.63
20241015,22.5,77.5,45.02,17.65,4.75,0.63
20241008,24.68,75.32,38.98,13.84,3.95,0.63
20241001,29.35,70.65,31.5,9.29,2.73,0.5
20240924,27.37,72.63,34.1,10.83,3.15,0.5
20240917,29.74,70.26,35.59,10.74,2.75,0.44
20240910,30.88,69.12,34.18,10.55,2.42,0.37
20240903,34.69,65.31,29.95,8.6,2.29,0.34
20240827,35.44,64.56,27.7,9.06,2.41,0.27
20240820,44.39,55.61,23.7,7.28,1.76,0.21
20240813,47.52,52.48,22.2,6.29,1.2,0.21
20240806,47.63,52.37,21.49,6.07,1.42,0.21
20240730,51.48,48.52,19.92,5.67,1.38,0.07
20240723,52.29,47.71,19.97,6.27,1.43,0.07
20240716,49.61,50.39,20.55,6.79,1.6,0.02
20240709,51.82,48.18,19.43,4.82,1.12,0.02
20240702,52.74,47.26,18.67,3.79,0.96,0.02
20240625,54.6,45.4,16.13,2.91,0.72,0.02
20240618,62.6,37.4,12.03,2.97,0.72,0.02
20240611,70.89,29.11,11.77,3.36,0.71,0.02
20240604,74.03,25.97,12.14,3.78,0.74,0.06
20240528,73.55,26.45,12.55,4.23,0.72,0.06
20240521,72.62,27.38,12.55,4.18,0.75,0.06
20240514,68.98,31.02,13.98,4.86,0.81,0.06
20240507,65.33,34.67,15.08,5.11,0.8,0.06
20240430,62.74,37.26,16.96,5.75,0.85,0.06
20240423,61.98,38.02,18.04,5.65,0.85,0.06
20240416,61.38,38.62,17.9,5.2,1.07,0.14
20240409,61.61,38.39,17.46,5.13,1.1,0.14
20240402,58.91,41.09,18.01,5.49,1.18,0.14
20240326,58.02,41.98,18.09,5.77,1.19,0.14
20240319,55.88,44.12,21.21,6.89,1.43,0.14
20240312,54.33,45.67,22.25,7.68,1.52,0.14
20240305,52.62,47.38,21.84,7.81,1.52,0.14
20240227,53.16,46.84,21.59,7.79,1.49,0.14
20240220,58.72,41.28,19.82,7.65,1.44,0.14
20240213,60.37,39.63,19.46,7.7,1.55,0.18
20240206,58.27,41.73,21.22,9.25,1.96,0.27
20240130,55.77,44.23,23.52,10.79,2.31,0.3
20240123,50.17,49.83,27.38,13,4.45,0.69
20240116,48.92,51.08,28.8,13.47,4.92,0.72
20240109,46.5,53.5,31.91,15.29,5.39,0.81
20240102,45.19,54.81,32.98,16.61,6.28,1.22
20231226,45.71,54.29,32.35,16.74,6.44,1.16
20231219,44.65,55.35,33.32,18.24,6.55,1.11
20231212,43.99,56.01,33.52,18.35,6.33,1.09
20231205,44.64,55.36,34.36,18.94,7.42,1.22
20231128,44.23,55.77,36.05,20.34,7.8,2.13
20231121,43.77,56.23,37.44,21.51,8.68,2.46
20231114,44.25,55.75,37.45,21.46,8.99,2.76
20231107,44.88,55.12,37.48,21.69,8.56,2.51
20231031,45.83,54.17,36.53,20.96,7.91,2.17
20231024,42.2,57.8,39.8,23.66,9.08,2.62
20231017,41.84,58.16,39.57,22.6,8.7,2.52
20231010,41.11,58.89,40.01,22.66,9,2.53
20231003,41.68,58.32,40.06,23.19,9.99,2.94
20230926,43.65,56.35,38.23,22.46,10.15,2.82
20230919,44.43,55.57,37.78,23.47,11.29,3.02
20230912,48.05,51.95,37.04,23.09,9.57,2.37
20230905,49.02,50.98,36.02,21.84,9.01,1.97
20230829,49.59,50.41,34.28,19.04,7.46,1.53
20230822,49.97,50.03,32.72,17.43,5.77,1.2
20230815,49.56,50.44,30.62,12.78,3.1,0.21
20230808,48.93,51.07,30.46,11.68,2.75,0.23
20230801,48.59,51.41,28.08,10.75,2.53,0.26
20230725,49.62,50.38,27.13,9.78,2.62,0.26
20230718,50.92,49.08,25.82,8.54,2.67,0.34
20230711,51.3,48.7,26.87,9.44,2.58,0.39
20230704,48.19,51.81,26.95,9.37,2.74,0.54
20230627,46.52,53.48,27,9.26,2.59,0.58
20230620,44.3,55.7,27.11,8,2.47,0.56
20230613,45.53,54.47,24.98,6.9,2.17,0.72
20230606,45.47,54.53,21.94,7.17,2.35,0.79
20230530,49.95,50.05,18.95,8.14,3.28,1.24
20230523,59.4,40.6,19.2,8.91,3.72,1.33
20230516,58.64,41.36,20.35,9.51,4.32,1.46
20230509,54.62,45.38,23.49,11.63,5.89,1.78
20230502,54.09,45.91,24.42,11.76,6.14,1.81
20230425,53.94,46.06,25.55,12,5.97,2.25
20230418,53.48,46.52,25.84,12.47,5.54,2.24
20230411,52.79,47.21,26.02,12.64,5.24,2.1
20230404,48.48,51.52,28.23,13.42,5.43,1.92
20230328,48.18,51.82,30.68,13.9,5.27,1.83
20230321,47.55,52.45,34.54,14.68,4.96,1.73
20230314,47.51,52.49,35.79,15.73,5.32,1.56
20230307,45.13,54.87,37.65,16.73,5.31,1.52
20230228,45,55,38.46,17.31,5.64,1.55
20230221,42.54,57.46,41.53,18.27,5.47,1.64
20230214,42.69,57.31,41.35,18.93,5.61,1.7
20230207,39.7,60.3,41.88,19.62,6.33,1.77
20230131,38.41,61.59,42.65,21.39,7.42,1.74
20230124,37.08,62.92,42.99,21.67,7.48,1.78
20230117,35.15,64.85,43.86,23.25,7.92,1.79
20230110,33.52,66.48,44.01,24.06,8.4,1.79
20230103,30.5,69.5,46.26,26.24,9.86,1.85
20221227,25.95,74.05,49.65,28.22,10.76,2.34
20221220,26.07,73.93,49.31,28.22,10.76,2.34
20221213,22.38,77.62,53.2,30.12,11.28,2.36
20221206,21.47,78.53,55.48,31.09,12.41,2.82
20221129,20.25,79.75,57.51,32.15,13.01,2.78
20221122,18.22,81.78,59.3,33.03,13.96,2.87
20221115,18.09,81.91,59.08,32.92,13.94,2.84
20221108,14.96,85.04,60.34,34.83,14.16,3.01
20221101,14.72,85.28,62.78,36.35,14.44,2.97
20221025,15.54,84.46,62.95,36.06,14.62,2.85
20221018,17.77,82.23,59.35,34.42,14.68,3.05
20221011,18.22,81.78,55.41,33.09,14.48,2.96
20221004,22.6,77.4,52.55,32.4,13.7,2.68
20220927,24.85,75.15,50.88,30.25,12.5,2.56
20220920,31.02,68.98,48.91,29.79,11.68,2.24
20220913,33.76,66.24,45.18,29.23,11.19,1.77
20220906,36.28,63.72,44.02,28.95,11.42,1.73
20220830,35.57,64.43,45.53,30.71,13.05,2
20220823,35.62,64.38,46.91,32.76,14.71,2.59
20220816,33.39,66.61,49.18,34.8,17.3,3.89
20220809,34.41,65.59,50.11,36.24,18.62,4.31
20220802,33.52,66.48,51.39,37.03,18.96,4.47
20220726,31.93,68.07,51.94,37.06,19.61,4.44
20220719,31.47,68.53,51.87,36,18.04,4.51
20220712,31.28,68.72,50.61,32.25,17.2,4.67
20220705,29.91,70.09,49.42,32.72,17.63,3.85
20220628,31.35,68.65,47.73,32.86,17.57,3.87
20220621,37.51,62.49,45.38,32.86,19.13,5.62
20220614,42.78,57.22,44.54,32.76,19.63,5.59
20220607,41.68,58.32,47.57,34.37,19.62,5.43
20220531,41.58,58.42,49.3,36.98,20.14,5.52
20220524,38.01,61.99,50.66,39.15,20.94,5.96
20220517,36.86,63.14,52.54,39.9,21.61,5.77
20220510,38.78,61.22,53.02,39.76,19.97,4.27
20220503,36.11,63.89,53.77,40.48,18.52,4.16
20220426,35.88,64.12,54.2,42.29,19.73,3.56
20220419,34.18,65.82,55.38,42.99,20.24,2.82
20220412,32.56,67.44,56.73,43.23,19.37,2.58
20220405,30.71,69.29,57.3,43.22,17.51,2.13
20220329,30.47,69.53,57.97,41.27,17.14,1.85
20220322,28.12,71.88,58.27,40.8,16.54,1.76
20220315,25.75,74.25,60.98,42.4,17.04,2.08
20220308,24.87,75.13,61.11,41.83,14.95,2.04
20220301,26.46,73.54,59.17,39.97,13.31,1.18
20220222,26.63,73.37,57.52,36.28,12.18,1.23
20220215,27.42,72.58,57.06,36.35,11.85,1.24
20220208,28.83,71.17,55.47,35.4,11.32,1.34
20220201,27.79,72.21,55.24,36.52,12.22,1.34
20220125,29.13,70.87,55.2,36.39,12.21,1.32
20220118,29.03,70.97,55.1,36.01,11.29,1.19
20220111,28.18,71.82,54.98,35.34,11.49,1.24
20220104,28.18,71.82,54.81,35.13,12.37,1.55
20211228,26.51,73.49,55.29,36.26,14.01,1.9
20211221,27.58,72.42,55.2,36.71,17.57,3.68
20211214,26.05,73.95,55.14,36.68,17.74,4.55
20211207,28,72,55.54,37.11,17.84,4.97
20211130,30.95,69.05,53.42,35.11,17.77,5.33
20211123,34.49,65.51,50.53,33,17.24,5.33
20211116,36.53,63.47,48.8,32.54,17.17,5.33
20211109,37.05,62.95,48.09,32.6,17.71,5.46
20211102,37.22,62.78,47.81,32.93,17.98,5.74
20211026,35.79,64.21,47.34,33.81,19.08,6.04
20211019,38.32,61.68,46.46,33.64,20.77,6.68
20211012,37.47,62.53,47.32,35.3,22.23,7.02
20211005,37.64,62.36,47.45,36.47,23.09,7.07
20210928,37.35,62.65,47.84,36.6,23.11,7.27
20210921,39.13,60.87,46.56,35.37,22.73,7.22
20210914,41.55,58.45,45.61,35.68,23.77,7.53
20210907,45.14,54.86,45.61,35.71,23.98,7.61
20210831,44.48,55.52,46.63,36.6,24.49,7.92
20210824,44.39,55.61,47.33,38.03,25.64,8.37
20210817,43.72,56.28,47.18,38.47,26.8,9.23
20210810,43.78,56.22,46.82,39.04,26.46,9.06
20210803,45.83,54.17,46.31,39.03,25.99,8.92
20210727,46.46,53.54,46.31,38.39,25.48,8.84
20210720,45.94,54.06,46.34,38.04,25.59,10
20210713,44.22,55.78,46.45,37.08,24.17,9.88
20210706,42.48,57.52,47.27,36.69,22.71,9.49
20210629,41.48,58.52,47.19,35.71,22.74,9.71
20210622,39.32,60.68,47.67,34.72,21.82,9.87
20210615,39.88,60.12,46.01,32.92,21.43,9.89
20210608,38.79,61.21,45.22,32.04,21.26,9.89
20210601,41,59,43.7,30.48,20.99,9.77
20210525,38.64,61.36,43.42,30.16,21.25,10.23
20210518,40.31,59.69,44.22,31.04,21.89,9.71
20210511,38.85,61.15,46.16,31.89,22.5,9.54
20210504,34.36,65.64,46.55,32.24,22.56,9.04
20210427,31.73,68.27,48.37,32.48,21.72,9.22
20210420,35.32,64.68,47.27,31.82,21.14,9.09
20210413,37.45,62.55,45.5,31.31,20.86,9.06
20210406,35.64,64.36,45.05,30.7,20.24,8.92
20210330,36.59,63.41,43.92,29.62,18.69,8.71
20210323,35.79,64.21,43.56,29.83,18.06,8.74
20210316,34.15,65.85,44.14,30.05,17.76,8.56
20210309,33.46,66.54,46.71,31.61,18.57,8.58
20210302,38.33,61.67,46.58,30.93,18.62,8.5
20210223,36.1,63.9,45.56,30.85,18.66,8.44
20210216,35.54,64.46,45.19,30.17,19.02,8.14
20210209,35.32,64.68,45.93,31.28,20.38,8.79
20210202,35.64,64.36,45.78,31.48,20.39,8.78
20210126,37.68,62.32,46.03,32.51,21.11,8.96
20210119,36.53,63.47,45.01,32.43,21.26,9.36
20210112,38.24,61.76,44.86,32.5,21.16,9.26
20210105,38.4,61.6,45.76,32.89,21.1,9.46
20201229,33.59,66.41,48.99,34.22,22.21,9.89
20201222,32.97,67.03,49.59,34.2,22.21,9.89
20201215,33.03,66.97,49.34,34.11,22.03,9.89
20201208,32.59,67.41,49.1,33.48,21.1,9.9
20201201,33.15,66.85,48.04,31.9,21.02,9.87
20201124,32.59,67.41,48.62,32.03,20.38,8.52
