Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2015-09-01,98,98,107,205,Corn,China
2015-10-01,65,163,427,385,Corn,China
2015-11-01,108,271,534,215,Corn,China
2015-12-01,534,805,107,107,Corn,China
2016-01-01,107,912,100,100,Corn,China
2016-02-01,230,1142,106,236,Corn,China
2016-03-01,116533,117675,0,52628,Corn,China
2016-04-01,65099,182774,0,5099,Corn,China
2016-05-01,0,182774,0,0,Corn,China
2016-06-01,0,182774,2100,2100,Corn,China
2016-07-01,2061,184835,0,0,Corn,China
2016-08-01,0,184835,107,107,Corn,China
2016-09-01,0,184835,107,0,Corn,China
2016-09-01,0,0,107,107,Corn,China
2016-10-01,107,107,0,0,Corn,China
2016-11-01,0,107,0,0,Corn,China
2016-12-01,0,107,0,0,Corn,China
2017-01-01,0,107,500,500,Corn,China
2017-02-01,0,107,1100,600,Corn,China
2017-03-01,10928,11035,116450,126303,Corn,China
2017-04-01,450,11485,136000,20000,Corn,China
2017-05-01,65300,76785,146240,12540,Corn,China
2017-06-01,245174,321959,88528,5399,Corn,China
2017-07-01,115072,437031,67601,29165,Corn,China
2017-08-01,280900,717931,2371,150670,Corn,China
2017-09-01,1906,1906,12710,16369,Corn,China
2017-10-01,3007,4913,74155,64452,Corn,China
2017-11-01,9119,14032,81000,16144,Corn,China
2017-12-01,7001,21033,178150,104151,Corn,China
2018-01-01,6458,27491,173057,1500,Corn,China
2018-02-01,7756,35247,165301,0,Corn,China
2018-03-01,33214,68461,312887,180800,Corn,China
2018-04-01,143212,211673,206037,67592,Corn,China
2018-05-01,141630,353303,160963,97216,Corn,China
2018-06-01,2557,355860,159436,1030,Corn,China
2018-07-01,863,356723,158573,0,Corn,China
2018-08-01,777,357500,160796,3000,Corn,China
2018-09-01,261,261,164995,165256,Corn,China
2018-09-01,0,357500,160796,0,Corn,China
2018-10-01,5074,5335,159921,0,Corn,China
2018-11-01,130,5465,159734,0,Corn,China
2018-12-01,1190,6655,158544,0,Corn,China
2019-01-01,195,6850,158370,21,Corn,China
2019-02-01,1169,8019,157973,775,Corn,China
2019-03-01,0,8019,458309,300336,Corn,China
2019-04-01,622,8641,468071,10384,Corn,China
2019-05-01,63275,71916,405628,3162,Corn,China
2019-06-01,66684,138600,337543,0,Corn,China
2019-07-01,62999,201599,277543,2999,Corn,China
2019-08-01,0,201599,60000,0,Corn,China
2019-09-01,58001,259600,0,0,Corn,China
2019-09-01,0,0,60000,0,Corn,China
2019-10-01,59343,59343,477,477,Corn,China
2019-11-01,0,59343,477,1000,Corn,China
2019-12-01,196,59539,281,0,Corn,China
2020-01-01,1332,60871,210,1261,Corn,China
2020-02-01,0,60871,210,0,Corn,China
2020-03-01,210,61081,756000,756000,Corn,China
2020-04-01,0,61081,820650,64650,Corn,China
2020-05-01,129562,190643,1075530,384442,Corn,China
2020-06-01,276907,467550,887069,88446,Corn,China
2020-07-01,389264,856814,1278921,781116,Corn,China
2020-08-01,1051570,1908384,404000,180197,Corn,China
2020-09-01,201655,2110039,145000,11646,Corn,China
2020-09-01,751449,751449,9205059,2338508,Corn,China
2020-10-01,1448059,2199508,8563762,816380,Corn,China
2020-11-01,1158003,3357511,7821762,482003,Corn,China
2020-12-01,1809528,5167039,6513621,361449,Corn,China
2021-01-01,978353,6145392,11559590,5959424,Corn,China
2021-02-01,917783,7063175,11666992,50886,Corn,China
2021-03-01,1398399,8461574,14723521,3915362,Corn,China
2021-04-01,2918743,11380317,11864001,99555,Corn,China
2021-05-01,3324905,14705222,8449343,214139,Corn,China
2021-06-01,2560724,17265946,6066000,80757,Corn,China
2021-07-01,3016954,20282900,2586000,41776,Corn,China
2021-08-01,1106951,21389851,1224800,85751,Corn,China
2021-09-01,0,21389851,1156800,0,Corn,China
