Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2015-08-01,66687.0,66687.0,123540.0,160467.0,Cotton,China
2015-09-01,35329.0,102016.0,139899.0,51633.0,Cotton,China
2015-10-01,92360.0,194376.0,110148.0,65654.0,Cotton,China
2015-11-01,58560.0,252936.0,142381.0,90769.0,Cotton,China
2015-12-01,63135.0,316071.0,214833.0,153723.0,Cotton,China
2016-01-01,62625.0,378696.0,276503.0,124439.0,Cotton,China
2016-02-01,98184.0,476880.0,312298.0,143557.0,Cotton,China
2016-03-01,210313.0,687193.0,324148.0,217447.0,Cotton,China
2016-04-01,183934.0,871127.0,312083.0,178900.0,Cotton,China
2016-05-01,256636.0,1127763.0,240254.0,184758.0,Cotton,China
2016-06-01,,,,,Cotton,China
2016-07-01,,,,,Cotton,China
2016-08-01,138104.0,138104.0,563811.0,367898.0,Cotton,China
2016-09-01,170245.0,308349.0,644892.0,251380.0,Cotton,China
2016-10-01,85969.0,394318.0,1181366.0,629191.0,Cotton,China
2016-11-01,208682.0,603000.0,1303550.0,328203.0,Cotton,China
2016-12-01,596968.0,1199968.0,1478263.0,761826.0,Cotton,China
2017-01-01,391899.0,1591867.0,1521185.0,421689.0,Cotton,China
2017-02-01,626127.0,2217994.0,1227711.0,357491.0,Cotton,China
2017-03-01,859913.0,3077907.0,822866.0,470076.0,Cotton,China
2017-04-01,389037.0,3466944.0,661052.0,243944.0,Cotton,China
2017-05-01,274775.0,3741719.0,519335.0,177717.0,Cotton,China
2017-06-01,229148.0,3970867.0,537272.0,288244.0,Cotton,China
2017-07-01,205182.0,4176049.0,340598.0,34647.0,Cotton,China
2017-08-01,312607.0,312607.0,2657420.0,607252.0,Cotton,China
2017-09-01,167358.0,479965.0,2666138.0,179581.0,Cotton,China
2017-10-01,97815.0,577780.0,2867510.0,297900.0,Cotton,China
2017-11-01,258623.0,836403.0,2750545.0,291856.0,Cotton,China
2017-12-01,379474.0,1215877.0,2595670.0,338596.0,Cotton,China
2018-01-01,613490.0,1829367.0,2061187.0,359670.0,Cotton,China
2018-02-01,530519.0,2359886.0,2028951.0,565878.0,Cotton,China
2018-03-01,725477.0,3085363.0,1609869.0,349027.0,Cotton,China
2018-04-01,538666.0,3624029.0,1459708.0,426602.0,Cotton,China
2018-05-01,528480.0,4152509.0,970647.0,294153.0,Cotton,China
2018-06-01,230865.0,4383374.0,736718.0,156955.0,Cotton,China
2018-07-01,202226.0,4585600.0,573942.0,36312.0,Cotton,China
2018-08-01,166666.0,166666.0,3703003.0,787119.0,Cotton,China
2018-09-01,116418.0,283084.0,3327775.0,49080.0,Cotton,China
2018-10-01,122849.0,405933.0,2797056.0,63217.0,Cotton,China
2018-11-01,186591.0,592524.0,2465566.0,157567.0,Cotton,China
2018-12-01,229740.0,822264.0,2365101.0,296492.0,Cotton,China
2019-01-01,48294.0,870558.0,2341210.0,49138.0,Cotton,China
2019-02-01,455509.0,1326067.0,1701370.0,309643.0,Cotton,China
2019-03-01,286985.0,1613052.0,1735955.0,461880.0,Cotton,China
2019-04-01,327186.0,1940238.0,1586888.0,200517.0,Cotton,China
2019-05-01,,,,,Cotton,China
2019-06-01,,,,,Cotton,China
2019-07-01,,,,,Cotton,China
2019-08-01,,,,,Cotton,China
2019-08-01,150051.0,150051.0,3428291.0,567934.0,Cotton,China
2019-09-01,125319.0,275370.0,3233046.0,59580.0,Cotton,China
2019-10-01,127212.0,402582.0,3159830.0,63462.0,Cotton,China
2019-11-01,150086.0,552668.0,3214684.0,352930.0,Cotton,China
2019-12-01,245648.0,798316.0,3050795.0,170701.0,Cotton,China
2020-01-01,443547.0,1241863.0,2871101.0,346015.0,Cotton,China
2020-02-01,412652.0,1654515.0,2565029.0,490170.0,Cotton,China
2020-03-01,447275.0,2101790.0,2578160.0,485989.0,Cotton,China
2020-04-01,507721.0,2609511.0,2996178.0,1483561.0,Cotton,China
2020-05-01,408376.0,3017887.0,3420641.0,847042.0,Cotton,China
2020-06-01,,,,,Cotton,China
2020-08-01,1280336.0,1280336.0,3852255.0,3039680.0,Cotton,China
2020-10-01,828085.0,2108421.0,4278568.0,1256036.0,Cotton,China
2020-11-01,902884.0,3011305.0,3850788.0,632992.0,Cotton,China
2020-12-01,835644.0,3846949.0,3361692.0,590030.0,Cotton,China
2021-01-01,1523692.0,5370641.0,3152331.0,1388163.0,Cotton,China
2021-02-01,1035700.0,6406341.0,2640057.0,606826.0,Cotton,China
2021-03-01,789750.0,7196091.0,2237265.0,381610.0,Cotton,China
2021-04-01,618731.0,7814822.0,1950875.0,461642.0,Cotton,China
2021-05-01,796761.0,8611583.0,1339196.0,312028.0,Cotton,China
2021-06-01,534594.0,9146177.0,1063935.0,321372.0,Cotton,China
2021-07-01,395399.0,9541576.0,751178.0,112487.0,Cotton,China
2021-08-01,306262.0,9847838.0,495301.0,46203.0,Cotton,China
