Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2015-10-01,0.0,0.0,0.0,0.0,Rice,China
2015-12-01,0.0,0.0,0.0,0.0,Rice,China
2016-01-01,0.0,0.0,0.0,0.0,Rice,China
2016-02-01,0.0,0.0,0.0,0.0,Rice,China
2016-03-01,0.0,0.0,0.0,0.0,Rice,China
2016-04-01,0.0,0.0,0.0,0.0,Rice,China
2016-06-01,0.0,0.0,0.0,0.0,Rice,China
2016-07-01,0.0,0.0,0.0,0.0,Rice,China
2016-12-01,0.0,0.0,0.0,0.0,Rice,China
2017-01-01,0.0,0.0,0.0,0.0,Rice,China
2017-02-01,0.0,0.0,0.0,0.0,Rice,China
2017-03-01,0.0,0.0,0.0,0.0,Rice,China
2017-04-01,82.0,82.0,0.0,82.0,Rice,China
2017-05-01,0.0,82.0,0.0,0.0,Rice,China
2017-06-01,82.0,164.0,0.0,82.0,Rice,China
2017-07-01,80.0,244.0,0.0,80.0,Rice,China
2017-08-01,0.0,244.0,0.0,0.0,Rice,China
2017-12-01,0.0,0.0,20.0,20.0,Rice,China
2018-01-01,0.0,0.0,20.0,0.0,Rice,China
2018-02-01,0.0,0.0,0.0,1.0,Rice,China
2018-03-01,0.0,0.0,0.0,0.0,Rice,China
2018-04-01,0.0,0.0,0.0,0.0,Rice,China
2018-05-01,0.0,0.0,0.0,0.0,Rice,China
2018-07-01,0.0,0.0,0.0,0.0,Rice,China
2019-01-01,0.0,0.0,0.0,0.0,Rice,China
2019-02-01,0.0,0.0,0.0,0.0,Rice,China
2019-03-01,0.0,0.0,0.0,0.0,Rice,China
2019-04-01,0.0,0.0,0.0,0.0,Rice,China
2019-05-01,0.0,0.0,1.0,1.0,Rice,China
2019-06-01,1.0,1.0,0.0,0.0,Rice,China
2019-07-01,0.0,1.0,1.0,1.0,Rice,China
2019-08-01,1.0,2.0,0.0,0.0,Rice,China
2020-04-01,0.0,0.0,0.0,0.0,Rice,China
2020-05-01,0.0,0.0,0.0,0.0,Rice,China
2020-06-01,0.0,0.0,0.0,0.0,Rice,China
2020-07-01,0.0,0.0,20.0,20.0,Rice,China
2020-08-01,0.0,0.0,40.0,40.0,Rice,China
2020-08-01,0.0,0.0,20.0,0.0,Rice,China
2020-09-01,0.0,0.0,40.0,0.0,Rice,China
2020-10-01,40.0,40.0,0.0,0.0,Rice,China
2020-11-01,0.0,40.0,0.0,0.0,Rice,China
2020-12-01,0.0,40.0,0.0,0.0,Rice,China
2021-01-01,0.0,40.0,0.0,0.0,Rice,China
2021-02-01,0.0,40.0,0.0,0.0,Rice,China
2021-03-01,0.0,40.0,0.0,0.0,Rice,China
2021-04-01,0.0,40.0,0.0,0.0,Rice,China
2021-05-01,0.0,40.0,0.0,0.0,Rice,China
2021-06-01,0.0,40.0,0.0,0.0,Rice,China
2021-07-01,0.0,40.0,0.0,0.0,Rice,China
2021-08-01,0.0,40.0,0.0,0.0,Rice,China
