Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2015-09-01,496915.0,496915.0,7991799.0,3042260.0,Soybeans,China
2015-10-01,7140872.0,7637787.0,7260859.0,4431322.0,Soybeans,China
2015-11-01,6285980.0,13923767.0,4994118.0,2527730.0,Soybeans,China
2015-12-01,4889519.0,18813286.0,4605209.0,3718038.0,Soybeans,China
2016-01-01,3261607.0,22074893.0,3078343.0,1571703.0,Soybeans,China
2016-02-01,3272878.0,25347771.0,1389514.0,1066135.0,Soybeans,China
2016-03-01,1409516.0,26757287.0,109777.0,396006.0,Soybeans,China
2016-04-01,8149.0,26765436.0,383381.0,286054.0,Soybeans,China
2016-05-01,7575.0,26773011.0,769784.0,453979.0,Soybeans,China
2016-06-01,71387.0,26844398.0,840789.0,527399.0,Soybeans,China
2016-07-01,839730.0,27684128.0,1036964.0,446937.0,Soybeans,China
2016-08-01,1868883.0,29553011.0,464315.0,307867.0,Soybeans,China
2016-09-01,,,,,Soybeans,China
2016-09-01,2472721.0,2472721.0,10273919.0,3546528.0,Soybeans,China
2016-10-01,7731281.0,10204002.0,9381599.0,4495789.0,Soybeans,China
2016-11-01,8318416.0,18522418.0,7292022.0,3793338.0,Soybeans,China
2016-12-01,6541371.0,25063789.0,6584638.0,3577794.0,Soybeans,China
2017-01-01,3513906.0,28577695.0,4814504.0,857530.0,Soybeans,China
2017-02-01,2775513.0,31353208.0,3043275.0,391421.0,Soybeans,China
2017-03-01,1601089.0,32954297.0,2337570.0,818028.0,Soybeans,China
2017-04-01,895938.0,33850235.0,2080570.0,379348.0,Soybeans,China
2017-05-01,291711.0,34141946.0,2064506.0,221320.0,Soybeans,China
2017-06-01,426888.0,34568834.0,1622427.0,175099.0,Soybeans,China
2017-07-01,356038.0,34924872.0,1454287.0,91904.0,Soybeans,China
2017-08-01,1361435.0,36286307.0,512455.0,486279.0,Soybeans,China
2017-09-01,2587189.0,2587189.0,8079945.0,3454736.0,Soybeans,China
2017-10-01,5919243.0,8506432.0,7463521.0,3735785.0,Soybeans,China
2017-11-01,7749823.0,16256255.0,4401320.0,3081488.0,Soybeans,China
2017-12-01,3334909.0,19591164.0,4923218.0,2671534.0,Soybeans,China
2018-01-01,2690986.0,22282150.0,3959697.0,1537260.0,Soybeans,China
2018-02-01,2611955.0,24894105.0,1522965.0,576968.0,Soybeans,China
2018-03-01,1177149.0,26071254.0,2604209.0,2273722.0,Soybeans,China
2018-04-01,407427.0,26478681.0,2255045.0,266483.0,Soybeans,China
2018-05-01,677945.0,27156626.0,1495820.0,249312.0,Soybeans,China
2018-06-01,198438.0,27355064.0,771487.0,28762.0,Soybeans,China
2018-07-01,131659.0,27486723.0,514546.0,123719.0,Soybeans,China
2018-08-01,132077.0,27618800.0,245091.0,3040.0,Soybeans,China
2018-09-01,67481.0,67481.0,1198886.0,205367.0,Soybeans,China
2018-09-01,66052.0,27684852.0,124987.0,6052.0,Soybeans,China
2018-10-01,203975.0,271456.0,692987.0,11975.0,Soybeans,China
2018-11-01,74.0,271530.0,244487.0,73072.0,Soybeans,China
2018-12-01,69999.0,341529.0,3949487.0,3834999.0,Soybeans,China
2019-01-01,132999.0,474528.0,3009487.0,6999.0,Soybeans,China
2019-02-01,3216787.0,3691315.0,5677487.0,5628852.0,Soybeans,China
2019-03-01,1255526.0,4946841.0,7976487.0,3511077.0,Soybeans,China
2019-04-01,718551.0,5665392.0,7605487.0,227064.0,Soybeans,China
2019-05-01,1219240.0,6884632.0,6671487.0,88558.0,Soybeans,China
2019-06-01,1669800.0,8554432.0,5770124.0,770377.0,Soybeans,China
2019-07-01,1553002.0,10107434.0,4253487.0,81547.0,Soybeans,China
2019-08-01,2922208.0,13029642.0,1149690.0,109406.0,Soybeans,China
2019-09-01,,,,,Soybeans,China
2019-09-01,756357.0,756357.0,2856295.0,3358652.0,Soybeans,China
2019-10-01,1703267.0,2459624.0,4686795.0,3216501.0,Soybeans,China
2019-11-01,4121020.0,6580644.0,3024655.0,1592952.0,Soybeans,China
2019-12-01,2491518.0,9072162.0,2024897.0,1159494.0,Soybeans,China
2020-01-01,2323474.0,11395636.0,611000.0,669851.0,Soybeans,China
2020-02-01,539189.0,11934825.0,293000.0,155189.0,Soybeans,China
2020-03-01,204048.0,12138873.0,334987.0,347035.0,Soybeans,China
2020-04-01,431986.0,12570859.0,989256.0,1021414.0,Soybeans,China
2020-05-01,158963.0,12729822.0,2235966.0,1472922.0,Soybeans,China
2020-06-01,172588.0,12902410.0,2901515.0,831150.0,Soybeans,China
2020-07-01,639483.0,13541893.0,2921839.0,865977.0,Soybeans,China
2020-08-01,,,,,Soybeans,China
2020-09-01,,,,,Soybeans,China
2020-09-01,3153448.0,3153448.0,17427210.0,6381871.0,Soybeans,China
2020-10-01,8967199.0,12120647.0,14697217.0,4149948.0,Soybeans,China
2020-11-01,7624134.0,19744781.0,9934610.0,1622424.0,Soybeans,China
2020-12-01,7448095.0,27192876.0,5529801.0,974880.0,Soybeans,China
2021-01-01,5122018.0,32314894.0,2951540.0,1547028.0,Soybeans,China
2021-02-01,2099623.0,34414517.0,1280892.0,369521.0,Soybeans,China
2021-03-01,399315.0,34813832.0,1167968.0,90960.0,Soybeans,China
2021-04-01,169466.0,34983298.0,728786.0,200206.0,Soybeans,China
2021-05-01,37360.0,35020658.0,697031.0,13800.0,Soybeans,China
2021-06-01,25453.0,35046111.0,773231.0,103403.0,Soybeans,China
2021-07-01,38630.0,35084741.0,711078.0,20405.0,Soybeans,China
2021-08-01,287336.0,35372077.0,717521.0,159262.0,Soybeans,China
2021-09-01,,,,,Soybeans,China
