Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2015-06-01,3458.0,3458.0,360465.0,125323.0,Wheat,China
2015-07-01,257178.0,260636.0,224644.0,11385.0,Wheat,China
2015-08-01,8931.0,269567.0,316307.0,14752.0,Wheat,China
2015-09-01,439178.0,708745.0,6992.0,20257.0,Wheat,China
2015-10-01,2408.0,711153.0,10014.0,5506.0,Wheat,China
2015-11-01,198900.0,910053.0,7671.0,7883.0,Wheat,China
2015-12-01,58.0,910111.0,117600.0,110035.0,Wheat,China
2016-01-01,3.0,910114.0,117603.0,6.0,Wheat,China
2016-02-01,14.0,910128.0,225010.0,135021.0,Wheat,China
2016-03-01,117594.0,1027722.0,398916.0,71500.0,Wheat,China
2016-04-01,207602.0,1235324.0,345000.0,129686.0,Wheat,China
2016-05-01,176704.0,1412028.0,345000.0,121704.0,Wheat,China
2016-06-01,115500.0,1527528.0,235000.0,5500.0,Wheat,China
2016-06-01,7131.0,7131.0,385116.0,235047.0,Wheat,China
2016-07-01,377348.0,384479.0,140303.0,17535.0,Wheat,China
2016-08-01,198481.0,582960.0,49224.0,47402.0,Wheat,China
2016-09-01,407245.0,990205.0,659.0,12680.0,Wheat,China
2016-10-01,45.0,990250.0,713.0,99.0,Wheat,China
2016-11-01,47.0,990297.0,360698.0,240032.0,Wheat,China
2016-12-01,241561.0,1231858.0,695000.0,346329.0,Wheat,China
2017-01-01,58450.0,1290308.0,756584.0,180034.0,Wheat,China
2017-02-01,357409.0,1647717.0,475000.0,14805.0,Wheat,China
2017-03-01,504029.0,2151746.0,315000.0,104029.0,Wheat,China
2017-04-01,366948.0,2518694.0,320000.0,236948.0,Wheat,China
2017-05-01,607046.0,3125740.0,200000.0,27046.0,Wheat,China
2017-06-01,0.0,3125740.0,200000.0,0.0,Wheat,China
2017-06-01,335848.0,335848.0,446000.0,211134.0,Wheat,China
2017-07-01,32.0,335880.0,446000.0,32.0,Wheat,China
2017-08-01,508263.0,844143.0,220052.0,285669.0,Wheat,China
2017-09-01,230922.0,1075065.0,125219.0,136141.0,Wheat,China
2017-10-01,1033.0,1076098.0,367200.0,243014.0,Wheat,China
2017-11-01,4552.0,1080650.0,482666.0,120030.0,Wheat,China
2017-12-01,2916.0,1083566.0,550000.0,70258.0,Wheat,China
2018-01-01,26.0,1083592.0,610000.0,60026.0,Wheat,China
2018-02-01,146917.0,1230509.0,550000.0,86917.0,Wheat,China
2018-03-01,71240.0,1301749.0,480000.0,2454.0,Wheat,China
2018-04-01,378678.0,1680427.0,120000.0,18678.0,Wheat,China
2018-05-01,124621.0,1805048.0,0.0,4621.0,Wheat,China
2018-06-01,12.0,12.0,0.0,12.0,Wheat,China
2018-07-01,23.0,35.0,0.0,23.0,Wheat,China
2018-08-01,18.0,53.0,0.0,18.0,Wheat,China
2018-09-01,12.0,65.0,0.0,12.0,Wheat,China
2018-10-01,0.0,65.0,0.0,0.0,Wheat,China
2018-11-01,31.0,96.0,0.0,31.0,Wheat,China
2018-12-01,25.0,121.0,0.0,25.0,Wheat,China
2019-01-01,0.0,121.0,0.0,0.0,Wheat,China
2019-02-01,75.0,196.0,80000.0,80075.0,Wheat,China
2019-03-01,84030.0,84226.0,0.0,4030.0,Wheat,China
2019-04-01,16.0,84242.0,0.0,16.0,Wheat,China
2019-05-01,23.0,84265.0,0.0,23.0,Wheat,China
2019-06-01,14.0,14.0,0.0,14.0,Wheat,China
2019-07-01,28.0,42.0,0.0,28.0,Wheat,China
2019-08-01,31.0,73.0,121000.0,121031.0,Wheat,China
2019-09-01,0.0,73.0,120000.0,0.0,Wheat,China
2019-10-01,126015.0,126088.0,260000.0,266015.0,Wheat,China
2019-11-01,262124.0,388212.0,0.0,2124.0,Wheat,China
2019-12-01,13.0,388225.0,0.0,13.0,Wheat,China
2020-01-01,0.0,388225.0,0.0,0.0,Wheat,China
2020-02-01,0.0,388225.0,0.0,0.0,Wheat,China
2020-03-01,0.0,388225.0,400000.0,400000.0,Wheat,China
2020-04-01,94.0,388319.0,510000.0,110094.0,Wheat,China
2020-05-01,711028.0,1099347.0,60000.0,24348.0,Wheat,China
2020-06-01,,,,,Wheat,China
2020-06-01,310538.0,310538.0,811052.0,91590.0,Wheat,China
2020-07-01,593100.0,903638.0,1290000.0,1193600.0,Wheat,China
2020-08-01,252366.0,1156004.0,1791532.0,753898.0,Wheat,China
2020-09-01,803518.0,1959522.0,1002000.0,21622.0,Wheat,China
2020-10-01,495834.0,2455356.0,742000.0,139834.0,Wheat,China
2020-11-01,254375.0,2709731.0,1410000.0,792387.0,Wheat,China
2020-12-01,671904.0,3381635.0,1394760.0,656664.0,Wheat,China
2021-01-01,119190.0,3500825.0,1930902.0,528532.0,Wheat,China
2021-02-01,274252.0,3775077.0,2060392.0,274168.0,Wheat,China
2021-03-01,538904.0,4313981.0,2204592.0,33104.0,Wheat,China
2021-04-01,1328168.0,5642149.0,779010.0,37436.0,Wheat,China
2021-05-01,663366.0,6305515.0,140994.0,31856.0,Wheat,China
2021-06-01,126120.0,6431635.0,10994.0,192.0,Wheat,China
